pt,en
os jogos olímpicos da antiga grécia acabaram por desaparecer em 393 d.c,the ancient greece olympics ended up disappearing in 393 ad
para pierre de coubertin o espírito olímpico era fundamentalmente uma filosofia de vida,for pierre de coubertin the olympic spirit was fundamentally a philosophy of life
promovendo e associando globalmente as qualidades do corpo e do espírito,promoting and globally associating the qualities of body and spirit
procurando ciar um estilo de vida baseado no prazer conseguido pelo esforço,seeking to create a lifestyle based on the pleasure achieved by the effort
no valor educacional dos bons exemplos,on the educational value of good examples
no respeito dos princípios éticos fundamentais e universais,respecting fundamental and universal ethical principles
espirito de fraternidade,brotherhood spirit
na antiga grécia se manifestava pela chamada trégua olímpica (fazendo cessar temporariamente os combates entre as cidade rivais),in ancient greece it was manifested by the so-called Olympic truce (temporarily stopping fighting between rival cities)
em seul uma representação unida das duas correias (sul e norte),in seoul a united representation of the two belts (south and north)
mais tarde ver também uma equipa unida das duas alemanhas (leste e ocidente),later to also see a united team from the two germany (east and west)
coubertin era de facto elitista,Coubertin was indeed elitist
nos primeiros jogos em 1896 apenas homens participaram,in the first games in 1896 only men participated
"em certas modalidades, apenas os com mais recursos podiam dar-se ao luxo de concorrer","in certain modalities, only those with more resources could afford to compete"
na antiguidade os jogos olímpicos duraram cerca de mil anos,in antiquity the olympic games lasted about a thousand years
agora tudo se passa mais depressa,now everything goes faster
"o norte-americano jim thorpe, em 1912 (quintos jogos olímpicos), perdeu a sua medalha de ouro, de vencedor do decatlo, porque anteriormente tinha ganho alguns cobres na sua terra natal (os eua) a jogar basebol","American jim thorpe, in 1912 (fifth olympic games), lost his gold medal, decathlon winner, because he had previously won some coppers in his homeland (the usa) playing baseball"
"paavo nurmi foi impedido de participar na maratona em 1932, em los angeles, por ter recebido algum dinheiro da sua participação em corridas da maratona (na alemanha e nos estados unidos) após a sua vitória em 1928",paavo nurmi was prevented from participating in the marathon in 1932 in los angeles because he received some money from his participation in marathon races (in germany and the united states) after his victory in 1928
"já em seoul, em 1988, óbvios profissionais como carl lewis e sergei bubka participaram nos jogos olímpicos","in seoul, in 1988, obvious professionals like carl lewis and sergei bubka participated in the olympic games"
