pt,en
indefinição,indefiniteness
técnico-táctica,technical-tactical
antigo,old one
ficam,stay
expostas,exposed
houve,there was
enorme,huge
soberba,superb
considerando-se,considering
sofrimento,Suffering
desfeitear,undo
rival,rival
luz,light
consonante,consonant
magnificência,magnificence
dragões,dragons
resgatar,rescue
troféus,trophies
julgo,I think
entendível,understandable
objectivos,goals
intactos,intact
anterior,previous
timoneiro,helmsman
arouca,arouca
vem,comes
perceber,to notice
crise,crisis
necessário,required
postura,posture
recuar,back off
período,time course
bicampeão,two-time champion
azuis-e-brancos,blue and white
preferiram,preferred
aferir,gauge
distância,distance
pontual,one-off
curtíssima,very short
valorizar,to value
pontuação,punctuation
obtida,obtained
eco,echo
instituição,institution
estuda,study
comunicação,Communication
conseguir,get
centrar-se,focus
produção,production
conceitos,concepts
entendia,understood
morte,death
deixaria,would leave
jornalistas,journalists
escreviam,wrote
apresentadores,presenters
telejornal,television news
diziam,they said
interpretar,to interpret
rodeia,surrounds
máximo,maximum
cientista,scientist
homem,men
renascença,renaissance
saltar,jump
serendipidade,serendipity
era,it was
estudava,studied
compreender,understand
antecipar,to anticipate
explicar,explain
operativos,operative
computadores,computers
ido,gone
dissertava,lectured
revista,magazine
l’espresso,l'espresso
sistema,system
operativo,operative
apple,apple
católico,Catholic
oferecia,offered
fácil,easy
salvação,salvation
enquanto,While
evoluído,evolved
calvinista,Calvinist
anglicano,Anglican
recriava,recreated
mente,mind
vinheta,vignette
fábula,fable
veneza,Venice
corto,short
personagem,character
criado,created
amigo,friend
deambulava,wandered
noite,night
sereníssima,serene
conferência,conference
mistérios,mysteries
transpunha,transpose
novelas,soap operas
relembro,remember
ambiente,environment
juntava,joined
preocupações,worries
sintetizando,synthesizing
rumo,direction
dava,gave
estudioso,studious
fenómenos,phenomena
comunicativos,communicative
apaixonado,in love
faltam,missing
faltarão,will miss
situações,situations
tecer,to weave
encómios,commendation
antes,before
reprovações,disapprovals
teriam,would have
dirigidas,directed
direcção,direction
editoriais,editorials
escrevia,wrote
percebo,I realize
rigor,rigor
jornalístico,journalistic
dá,from the
notícias,News
eventual,eventual
envolvimento,involvement
operação,operation
rota,route
atlântico,Atlantic
referência,reference
irmão,brother
intenção,intention
discordar,disagree
repudiar,repudiate
hábito,habit
focalizar,focus
familiares,relatives
individualidades,individualities
acusação,indictment
polícias,police
cometimento,commitment
crimes,crimes
seguir,follow
espalhanço,spread
imperdoável,Unforgiven
congratulo,I congratulate
baniu,banned
semana,week
passada,last
tive,had
erro,error
lamentável,unfortunate
secção,section
correio,post office
leitores,readers
provedor,provider
propriedade,property
leitor,reader
costa,coast
castigar-me,punish me
leitura,reading
leviana,flippant
caí,falls
referentes,referents
assunto,Subject
publicadas,published
fevereiro,February
acrescentava,added
laço,link
familiar,familiar
ex-primeiro,former first
ministro,minister
penalização,penalty
infligida,inflicted
acordo,I agree
alusões,allusions
aproveitar,to enjoy
versar,speak
deveria,should
tratado,treated
certo,right
justiça,justice
tenho,have
comercialmente,commercially
dedicam,dedicate
falido,flat broke-bankrupt
basta,enough
conhecer-se,meet
pouco,little
turbulência,turbulence
restrições,restrictions
forçar,to force
mapas,maps
organizativos,organizational
substituição,replacement
consagrados,consecrated
ceos,heavens
conforme,according
passar,pass
grupos,groups
levantar,rise
perplexas,perplexed
interrogações,question marks
lembrava,remembered
informativa,informative
caro,expensive
tratamento,treatment
aprofundado,in-depth
notícia,news
reportagem,reportage
grave,serious
espectro,spectrum
marca,brand
sector,sector
reflecte,reflects
impostas,imposed
apetrechamento,outfitting
técnico,technician
humano,human
jornal,newspaper
bastante,quite
comprometido,committed
deva,must
testemunhar,testify
posso,I can
interfere,interfere
informacional-comunicacional,informational-communicational
dominante,dominant
quadro,painting
empresarial,business
continuarem,continue
modificar-se,modify
revolução,revolution
perceptível,noticeable
difusão,diffusion
venha,come
retirando,pulling out
lucros,profits
procurados,wanted
acho,think
condicionalismos,constraints
trabalham,work
colam,glue
demais,too much
dominantes,dominant
enredam-se,entangle themselves
circunstâncias,circumstances
adversas,adverse
tempos,times
mudam,change
estabelecidos,settled down
aproveitei,I took advantage
manifestar,manifest
discordância,disagreement
redução,reduction
interpreta,interprets
reparado,repaired
escrevo,I write
procuro,look
provedores,providers
recomendações,recommendations
remeter,remit
queixas,complaints
respostas,answers
princípio,principle
estabeleci,I established
estabelece,lays down
art.º,art.
competências,Skills
manter,keep
coluna,column
semanal,weekly
matérias,Subjects
competência,competence
deontologia,deontology
reflexão,reflection
crítica,criticism
exercida,exercised
resposta,answer
exprime,expresses
análises,analysis
transmitidas,transmitted
julgue,judge
escrita,writing
vai-se,go
preserva-se,preserve yourself
dúvidas,doubts
exercício,exercise
diferente,different
importa,it matters
ingénuo,naive
utópico,Utopian
consciência,consciousness
transformador,transformer
sediou,hosted
exposição,exhibition
tema,theme
oceanos,oceans
património,patrimony
revitalização,revitalization
limite,limit
margens,margins
mudaria,would change
definitivo,definitive
comprovar,prove
escolha,choice
acertada,right
moradores,residents
visitantes,visitors
janeiro,January
plena,full
acelerou,accelerated
historicamente,historically
necessários,necessary
irá,will
específicas,specific
restante,remaining
destinado,destined
melhorias,improvements
ficarão,will stay
antecipado,anticipated
parque,park
aquático,aquatic
disputadas,disputed
canoagem,canoeing
entregue,delivered
aberto,open
população,population
lazer,leisure
periferia,periphery
esperamos,we wait
aumente,increase
consideravelmente,considerably
visitam,visit
experiência,experience
turística,tourist
vivida,lived
supera,overcomes
atende,he meets
ápice,apex
calendário,calendar
megaeventos,mega events
assumiu,took on
cá,here
realizámos,we performed
etapas,phases
fórmula,formula
presença,presence
chefes,bosses
continentes,continents
jornada,journey
jmj,jmj
primeiro,first
papa,pope
copa,Cup
confederações,confederations
superá-la,overcome it
firmeza,firmness
trabalhando,Working
seriedade,seriousness
resolver,solve
mosquito,mosquito
adotadas,adopted
trunfos,trumps
disputa,dispute
paralimpíada,paralympics
exatamente,exactly
impacto,impact
cidade-sede,main city
mostramos,we show
reunia,gathered
pudesse,could
melhorar,improve
irmãos,brothers
lusitanos,lusitanos
especial,Special
importância,importance
contexto,context
impõe,imposes
característicos,characteristic
magnitude,magnitude
esportivo,sports
planeta,planet
superando-os,overcoming them
cidades,cities
tóquio,Tokyo
finalizar,finish
firmamos,we signed
compromisso,commitment
realizar,accomplish
aprovaram,approved
viram,saw
experimentaram,experienced
fizemos,We did
pesquisa,search
turistas,tourists
afirmaram,stated
pretendiam,intended
voltar,return
atrapalhar,to disturb
realizados,performed
inverno,Winter
primavera,spring
hemisfério,hemisphere
verifica,Checks
incidência,incidence
inseto,bug
baixa,low
transmissão,streaming
doenças,illnesses
legislar,legislate
resoluções,resolutions
república,republic
constituição,constitution
legisle,legislate
exclusivamente,exclusively
decreto-lei,decree law
continente,continent
inconstitucionalmente,unconstitutionally
legislando,legislating
através,through
impor,impose
governamentais,governmental
notar,notice
conhece,do you know
elementar,elementary
dever,to owe
institucional,institutional
esclareça,clarify
particular,private
juridicamente,legally
válido,valid
garante,ensures
constitucionalidade,constitutionality
acção,action
governativa,governmental
presidenciais,presidential
funcional,functional
aplicar,to apply
equiparado,equated
pena,pity
perjúrio,perjury
tomar,to take
sine,sine
jurou,swore
jure,swear
vigor,force
signatários,signatories
aborto,abortion
ortográfico,spelling
deitar,to lay
lixo,garbage
provocando,taunting
caos,chaos
linguístico,linguistic
vocabulário,vocabulary
mandara,send
elaborar,elaborate
aplicou,applied
heterodoxa,unorthodox
sabe,You know
mandou,sent
aplica-se,apply
habilitante,enabling
legalmente,rightfully
constitucionalmente,constitutionally
resolução,resolution
ministros,ministers
vincula,binds
órgãos,organs
soberania,sovereignty
soberanos,sovereigns
adoptaram,adopted
língua,tongue
oficial,official
podia,could
chamado,called
discretamente,quietly
director,director
ccb,ccb
demitir,dismiss
alegando,claiming
pessoal,folks
preferiu,preferred
incidente,incident
ameaçou,threatened
dr.,Dr.
lamas,sludge
exibiu,exhibited
poderes,powers
vêm,comes
cargo,office
gabar,to boast
televisão,TV
publicado,published
jornais,newspapers
discutem,argue
sufocantes,suffocating
banalidades,banalities
discutiram,discussed
vontade,willing
custava,cost
ouvir,hear
análise,analyze
vão,they go
vítimas,victims
fantasia,fantasy
urbanística,urban planning
fizera,had done
obra,constructions
extraordinária,extraordinary
restaurando,restoring
monumentos,monuments
reabilitando,rehabilitating
acabando,ending
crónicos,chronic
prejuízos,losses
cultural,cultural
vila,village
reconheço,I recognize
transferido,transferred
resolveu,solved
repetir,repeat
transformar,to transform
zona,zone
ajuda,help
turístico,tourist
lisboeta,Lisbon
apetece,feel like
apareçam,appear
inteiro,all
milhares,thousands
tapando,covering
atravancando,cluttering
ruas,streets
saber,know
pensa,think
coisa,thing
sr.,Mr.
mandar,to send
povinho,little people
sequer,not even
bonito,beautiful
correu,ran
eixo,axle
ajuda-belém,aid Bethlehem
disparate,nonsense
curioso,curious
escolheu,he chose
aparece,pops up
dizer,tell
concorda,agree
lógica,logic
projecto,project
belém-ajuda,bethlehem help
queria,I wanted
centralização,centralization
pesada,heavy
coordenação,coordination
leve,Light
divergência,Divergence
comunicado,communiqué
extinção,extinction
missão,mission
estranho,strange
dito,said
reuniram,gathered
vereadores,councilors
técnicos,technical
autarquia,autarchy
apresentação,presentation
sublinhado,underlined
fundamental,fundamental
artigo,article
gerir,to manage
padrão,standard
descobrimentos,discoveries
conjunto,set
unidades,units
patrimoniais,patrimonial
cresap,cresap
defeitos,defects
permitiu,allowed
acabar,to finish
refrear,curb
instrumentação,instrumentation
partidarização,partisanship
governantes,rulers
dessem,give
aumentassem,increase
âmbito,scope
ajudaria,would help
esfregona,mop
canavilhas,sugarcane
mau,bad
contratação,hiring
precisamente,precisely
tentar,try
replicar,replicate
modelo,model
premiado,awarded
internacionalmente,internationally
deixou,he left
pesar,to weight
arranjar,arrange
polémica,controversy
bloco,block
esquerda,left
veio,he came
sensatamente,sensibly
lamentar,lament
concurso,contest
escolher,choose
método,method
correr,run
ocupa,occupies
destaque,Spotlight
projecções,projections
constitucionais,constitutional
educação,education
juventude,youth
escolar,school
torna-se,becomes
elemento,element
integral,full
proporcionando,providing
favorável,favorable
ocupação,occupation
saudável,healthy
livres,free
ipdj,ipdj
assumida,assumed
actividades,activities
aproximação,approximation
significativo,significant
permanecendo,remaining
desconforto,discomfort
acima,above
necessidades,needs
desportivas,sports
respondendo,responding
monopólios,monopolies
europeus,europeans
asseguraram,assured
mega-eventos,mega-events
solo,ground
europeu,European
demonstra,demonstrates
relevantes,relevant
sabem,know
entregam,deliver
instituições,institutions
privadas,private
proprietários,owners
assumindo,assuming
retiram,withdraw
indústrias,industries
indústria,industry
situa-se,is situated
montante,amount
jusante,downstream
encontram-se,meet
sectores,sectors
industriais,industrial
beneficiaria,would benefit
